  1 PROT          5.3000000000E-01
  1 h    2         3.6000000000E-05
  2 he   3         2.2000000000E-05
  2 he   4         2.1000000000E-01
  3 li   6         4.9000000000E-10
  3 li   7         7.0000000000E-09
  4 be   9         1.2000000000E-10
  5 b   10         8.0000000000E-10
  5 b   11         3.6000000000E-09
  6 c   12         1.3000000000E-01
  6 c   13         2.7000000000E-05
  7 n   14         8.3000000000E-04
  7 n   15         3.3000000000E-06
  8 o   16         1.3000000000E-01
  8 o   17         2.9000000000E-06
  8 o   18         1.6000000000E-05
  9 f   19         3.0000000000E-07
 10 ne  20         1.2000000000E-03
 10 ne  21         3.1000000000E-06
 10 ne  22         2.6000000000E-03
 11 na  23         2.5000000000E-05
 12 mg  24         3.9000000000E-04
 12 mg  25         5.1000000000E-05
 12 mg  26         5.8000000000E-05
 13 al  27         4.3000000000E-05
 14 si  28         4.9000000000E-04
 14 si  29         2.6000000000E-05
 14 si  30         1.8000000000E-05
 15 p   31         6.1000000000E-06
 16 s   32         3.0000000000E-04
 16 s   33         2.4000000000E-06
 16 s   34         1.4000000000E-05
 17 cl  35         1.9000000000E-06
 17 cl  37         6.4000000000E-07
 18 ar  36         5.8000000000E-05
 18 ar  38         1.2000000000E-05
 19 k   39         2.6000000000E-06
 20 ca  40         4.5000000000E-05
