  1 PROT          4.6000000000E-01
  2 he   3         3.6000000000E-07
  2 he   4         2.6000000000E-01
  4 be   7         8.7000000000E-09
  6 c   12         8.4000000000E-03
  6 c   13         9.7000000000E-03
  7 n   14         1.5000000000E-01
  7 n   15         8.1000000000E-04
  8 o   16         1.0000000000E-01
  8 o   17         3.3000000000E-03
  8 o   18         4.4000000000E-10
  9 f   18         3.2000000000E-06
  9 f   19         1.1000000000E-08
 10 ne  20         1.3000000000E-03
 10 ne  21         2.3000000000E-08
 10 ne  22         2.5000000000E-03
 11 na  22         1.3000000000E-06
 11 na  23         1.4000000000E-05
 12 mg  24         1.3000000000E-06
 12 mg  25         4.4000000000E-04
 12 mg  26         4.7000000000E-05
 13 al  26         1.7000000000E-05
 13 al  27         5.8000000000E-05
 14 si  28         5.1000000000E-04
 14 si  29         2.5000000000E-05
 14 si  30         1.8000000000E-05
 15 p   31         6.1000000000E-06
 16 s   32         3.0000000000E-04
 16 s   33         2.4000000000E-06
 16 s   34         1.4000000000E-05
 17 cl  35         1.9000000000E-06
 17 cl  37         6.4000000000E-07
 18 ar  36         5.8000000000E-05
 18 ar  37         5.2000000000E-08
 18 ar  38         1.2000000000E-05
 19 k   39         2.6000000000E-06
 20 ca  40         4.5000000000E-05
 20 ca  41         7.4000000000E-09
 20 ca  42         0.0000000000E+00
