  1 PROT          2.6000000000E-01
  2 he   3         0.0000000000E+00
  2 he   4         2.1000000000E-01
  4 be   7         6.0000000000E-08
  6 c   12         2.1000000000E-02
  6 c   13         2.3000000000E-02
  7 n   14         6.1000000000E-02
  7 n   15         3.2000000000E-06
  8 o   16         1.9000000000E-04
  8 o   17         2.8000000000E-02
  8 o   18         9.2000000000E-07
  9 f   18         1.7000000000E-05
  9 f   19         1.8000000000E-07
 10 ne  20         2.0000000000E-01
 10 ne  21         3.7000000000E-06
 10 ne  22         9.2000000000E-09
 11 na  22         1.1000000000E-04
 11 na  23         2.0000000000E-04
 12 mg  24         1.0000000000E-05
 12 mg  25         4.1000000000E-03
 12 mg  26         2.2000000000E-04
 13 al  26         1.5000000000E-03
 13 al  27         8.4000000000E-03
 14 si  28         7.0000000000E-02
 14 si  29         1.4000000000E-03
 14 si  30         2.2000000000E-02
 15 p   31         2.2000000000E-02
 16 s   32         7.2000000000E-02
 16 s   33         2.5000000000E-04
 16 s   34         1.8000000000E-04
 17 cl  35         1.3000000000E-04
 17 cl  37         1.1000000000E-07
 18 ar  36         7.9000000000E-06
 18 ar  37         2.0000000000E-05
 18 ar  38         1.1000000000E-05
 19 k   39         3.2000000000E-06
 20 ca  40         1.7000000000E-05
 20 ca  41         5.4000000000E-10
 20 ca  42         2.2000000000E-11
