H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # source Iliadis et al. 2002 Table 4
 # model JCH 2
    1     1.    1.   1   1.50000E-01  PROT
    2     2.    3.   1   0.00000E+00  HE  3
    3     2.    4.   1   3.60000E-01  HE  4
    4     4.    7.   1   1.80000E-08  BE  7
    5     6.   12.   1   6.20000E-02  C  12
    6     6.   13.   1   6.90000E-02  C  13
    7     7.   14.   1   8.10000E-02  N  14
    8     7.   15.   1   6.50000E-03  N  15
    9     8.   16.   1   4.20000E-04  O  16
   10     8.   17.   1   2.00000E-03  O  17
   11     8.   18.   1   1.40000E-07  O  18
   12     9.   18.   1   2.00000E-06  F  18
   13     9.   19.   1   1.20000E-08  F  19
   14    10.   20.   1   1.50000E-01  NE 20
   15    10.   21.   1   9.20000E-06  NE 21
   16    10.   22.   1   5.40000E-06  NE 22
   17    11.   22.   1   9.60000E-05  NA 22
   18    11.   23.   1   1.50000E-04  NA 23
   19    12.   24.   1   6.00000E-06  MG 24
   20    12.   25.   1   6.80000E-04  MG 25
   21    12.   26.   1   2.70000E-05  MG 26
   22    13.   26.   1   1.10000E-04  AL 26
   23    13.   27.   1   6.10000E-04  AL 27
   24    14.   28.   1   5.90000E-02  SI 28
   25    14.   29.   1   7.80000E-04  SI 29
   26    14.   30.   1   1.50000E-02  SI 30
   27    15.   31.   1   9.60000E-03  P  31
   28    16.   32.   1   3.00000E-02  S  32
   29    16.   33.   1   2.70000E-05  S  33
   30    16.   34.   1   1.60000E-05  S  34
   31    17.   35.   1   1.20000E-05  CL 35
   32    17.   37.   1   9.50000E-08  CL 37
   33    18.   36.   1   2.00000E-06  AR 36
   34    18.   37.   1   3.10000E-05  AR 37
   35    18.   38.   1   9.30000E-06  AR 38
   36    19.   39.   1   1.20000E-06  K  39
   37    20.   40.   1   3.00000E-05  CA 40
   38    20.   41.   1   4.20000E-09  CA 41
   39    20.   42.   1   1.40000E-10  CA 42
