  1 PROT          1.5000000000E-01
  2 he   3         0.0000000000E+00
  2 he   4         3.6000000000E-01
  4 be   7         1.8000000000E-08
  6 c   12         6.2000000000E-02
  6 c   13         6.9000000000E-02
  7 n   14         8.1000000000E-02
  7 n   15         6.5000000000E-03
  8 o   16         4.2000000000E-04
  8 o   17         2.0000000000E-03
  8 o   18         1.4000000000E-07
  9 f   18         2.0000000000E-06
  9 f   19         1.2000000000E-08
 10 ne  20         1.5000000000E-01
 10 ne  21         9.2000000000E-06
 10 ne  22         5.4000000000E-06
 11 na  22         9.6000000000E-05
 11 na  23         1.5000000000E-04
 12 mg  24         6.0000000000E-06
 12 mg  25         6.8000000000E-04
 12 mg  26         2.7000000000E-05
 13 al  26         1.1000000000E-04
 13 al  27         6.1000000000E-04
 14 si  28         5.9000000000E-02
 14 si  29         7.8000000000E-04
 14 si  30         1.5000000000E-02
 15 p   31         9.6000000000E-03
 16 s   32         3.0000000000E-02
 16 s   33         2.7000000000E-05
 16 s   34         1.6000000000E-05
 17 cl  35         1.2000000000E-05
 17 cl  37         9.5000000000E-08
 18 ar  36         2.0000000000E-06
 18 ar  37         3.1000000000E-05
 18 ar  38         9.3000000000E-06
 19 k   39         1.2000000000E-06
 20 ca  40         3.0000000000E-05
 20 ca  41         4.2000000000E-09
 20 ca  42         1.4000000000E-10
